title,author,length
75. Ugly Love,By: Colleen Hoover,Length: 9 hrs and 14 mins
76. The Nightingale,By: Kristin Hannah,Length: 17 hrs and 19 mins
77. The Storyteller,By: Jodi Picoult,Length: 18 hrs and 13 mins
78. Becoming Supernatural,By: Joe Dispenza,Length: 14 hrs and 6 mins
79. The Boys from Biloxi,By: John Grisham,Length: 17 hrs and 22 mins
80. Shadow and Bone,By: Leigh Bardugo,Length: 9 hrs and 21 mins
81. Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
82. Singularity,By: Jeremy Robinson,Length: 12 hrs and 46 mins
83. Atlas of the Heart,By: Brené Brown,Length: 8 hrs and 29 mins
84. The 7 Habits of Highly Effective People,By: Stephen R. Covey,Length: 13 hrs and 4 mins
85. The Untethered Soul,By: Michael A. Singer,Length: 6 hrs and 11 mins
86. The Alchemist,By: Paulo Coelho,Length: 4 hrs
"87. Friends, Lovers, and the Big Terrible Thing",By: Matthew Perry,Length: 8 hrs and 49 mins
88. Local Woman Missing,By: Mary Kubica,Length: 11 hrs and 40 mins
89. Crying in H Mart,By: Michelle Zauner,Length: 7 hrs and 23 mins
90. The Maid,By: Nita Prose,Length: 9 hrs and 37 mins
91. What Happened to You?,"By: Oprah Winfrey, Bruce D. Perry",Length: 8 hrs and 27 mins
92. A Place Called Freedom,By: Ken Follett,Length: 14 hrs and 39 mins
93. He Who Fights with Monsters 9,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 3 mins
94. The Gray Man,By: Mark Greaney,Length: 11 hrs and 11 mins
95. Attached,"By: Amir Levine, Rachel Heller",Length: 7 hrs and 4 mins
96. Breaking the Habit of Being Yourself,By: Joe Dispenza,Length: 10 hrs and 49 mins
97. Horse,By: Geraldine Brooks,Length: 14 hrs and 6 mins
98. Mockingjay,By: Suzanne Collins,Length: 11 hrs and 19 mins
99. The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 22 hrs and 38 mins
100. The Courage to Be Free,By: Ron DeSantis,Length: 8 hrs and 59 mins
